designStorm,loadingRatio,depth,probabilityOfFailure,reliability
0.1,0.2,12,0,1
0.2,0.2,12,0,1
0.3,0.2,12,0,1
0.4,0.2,12,0,1
0.5,0.2,12,0,1
0.6,0.2,12,0,1
0.7,0.2,12,0,1
0.8,0.2,12,0,1
0.9,0.2,12,0,1
1,0.2,12,0,1
1.1,0.2,12,0.0005,0.9995
1.2,0.2,12,0.0043,0.9957
1.3,0.2,12,0.0182,0.9818
1.4,0.2,12,0.050484921,0.949515079
1.5,0.2,12,0.094163424,0.905836576
1.6,0.2,12,0.162621359,0.837378641
1.7,0.2,12,0.23292868,0.76707132
1.8,0.2,12,0.355371901,0.644628099
1.9,0.2,12,0.390127389,0.609872612
2,0.2,12,0.523287671,0.476712329
2.1,0.2,12,0.550151976,0.449848024
2.2,0.2,12,0.631355932,0.368644068
2.3,0.2,12,0.64,0.36
2.4,0.2,12,0.706586826,0.293413174
2.5,0.2,12,0.736111111,0.263888889
2.6,0.2,12,0.8,0.2
2.7,0.2,12,0.810526316,0.189473684
2.8,0.2,12,0.825581395,0.174418605
2.9,0.2,12,0.825581395,0.174418605
3,0.2,12,0.842105263,0.157894737
3.1,0.2,12,0.855072464,0.144927536
3.2,0.2,12,0.906976744,0.093023256
3.3,0.2,12,0.933333333,0.066666667
3.4,0.2,12,0.952380952,0.047619048
3.5,0.2,12,0.952380952,0.047619048
3.6,0.2,12,0.952380952,0.047619048
3.7,0.2,12,0.952380952,0.047619048
3.8,0.2,12,0.952380952,0.047619048
3.9,0.2,12,0.952380952,0.047619048
4,0.2,12,0.971428571,0.028571429
4.1,0.2,12,0.979166667,0.020833333
4.2,0.2,12,0.979166667,0.020833333
4.3,0.2,12,0.979166667,0.020833333
4.4,0.2,12,0.979166667,0.020833333
4.5,0.2,12,0.979166667,0.020833333
4.6,0.2,12,0.979166667,0.020833333
4.7,0.2,12,0.979166667,0.020833333
4.8,0.2,12,0.979166667,0.020833333
4.9,0.2,12,0.979166667,0.020833333
5,0.2,12,0.979166667,0.020833333
0.1,0.2,18,0,1
0.2,0.2,18,0,1
0.3,0.2,18,0,1
0.4,0.2,18,0,1
0.5,0.2,18,0,1
0.6,0.2,18,0,1
0.7,0.2,18,0,1
0.8,0.2,18,0,1
0.9,0.2,18,0,1
1,0.2,18,0,1
1.1,0.2,18,0,1
1.2,0.2,18,0.0006,0.9994
1.3,0.2,18,0.0034,0.9966
1.4,0.2,18,0.0139,0.9861
1.5,0.2,18,0.044033111,0.955966889
1.6,0.2,18,0.085434174,0.914565826
1.7,0.2,18,0.159639981,0.840360019
1.8,0.2,18,0.244552058,0.755447942
1.9,0.2,18,0.31011236,0.68988764
2,0.2,18,0.369343066,0.630656934
2.1,0.2,18,0.471111111,0.528888889
2.2,0.2,18,0.566775244,0.433224756
2.3,0.2,18,0.608527132,0.391472868
2.4,0.2,18,0.628691983,0.371308017
2.5,0.2,18,0.722580645,0.277419355
2.6,0.2,18,0.736111111,0.263888889
2.7,0.2,18,0.7578125,0.2421875
2.8,0.2,18,0.783783784,0.216216216
2.9,0.2,18,0.806122449,0.193877551
3,0.2,18,0.820224719,0.179775281
3.1,0.2,18,0.855072464,0.144927536
3.2,0.2,18,0.868852459,0.131147541
3.3,0.2,18,0.877192982,0.122807018
3.4,0.2,18,0.895833333,0.104166667
3.5,0.2,18,0.918918919,0.081081081
3.6,0.2,18,0.933333333,0.066666667
3.7,0.2,18,0.952380952,0.047619048
3.8,0.2,18,0.952380952,0.047619048
3.9,0.2,18,0.952380952,0.047619048
4,0.2,18,0.952380952,0.047619048
4.1,0.2,18,0.952380952,0.047619048
4.2,0.2,18,0.952380952,0.047619048
4.3,0.2,18,0.952380952,0.047619048
4.4,0.2,18,0.952380952,0.047619048
4.5,0.2,18,0.952380952,0.047619048
4.6,0.2,18,0.952380952,0.047619048
4.7,0.2,18,0.952380952,0.047619048
4.8,0.2,18,0.952380952,0.047619048
4.9,0.2,18,0.962962963,0.037037037
5,0.2,18,0.962962963,0.037037037
0.1,0.2,24,0,1
0.2,0.2,24,0,1
0.3,0.2,24,0,1
0.4,0.2,24,0,1
0.5,0.2,24,0,1
0.6,0.2,24,0,1
0.7,0.2,24,0,1
0.8,0.2,24,0,1
0.9,0.2,24,0,1
1,0.2,24,0,1
1.1,0.2,24,0,1
1.2,0.2,24,0,1
1.3,0.2,24,0.0004,0.9996
1.4,0.2,24,0.003,0.997
