designStorm,loadingRatio,depth,probabilityOfFailure,reliability,soilType,reduction,duration,surface
0.1,0,12,0,1.000000000,3,80,2,1
0.2,0,12,0,1.000000000,3,80,2,1
0.3,0,12,0,1.000000000,3,80,2,1
0.4,0,12,0,1.000000000,3,80,2,1
0.5,0,12,0,1.000000000,3,80,2,1
0.6,0,12,0,1.000000000,3,80,2,1
0.7,0,12,0,1.000000000,3,80,2,1
0.8,0,12,0,1.000000000,3,80,2,1
0.9,0,12,0,1.000000000,3,80,2,1
1,0,12,0,1.000000000,3,80,2,1
1.1,0,12,0,1.000000000,3,80,2,1
1.2,0,12,0,1.000000000,3,80,2,1
1.3,0,12,0,1.000000000,3,80,2,1
1.4,0,12,0,1.000000000,3,80,2,1
1.5,0,12,0,1.000000000,3,80,2,1
1.6,0,12,0,1.000000000,3,80,2,1
1.7,0,12,0,1.000000000,3,80,2,1
1.8,0,12,0,1.000000000,3,80,2,1
1.9,0,12,0,1.000000000,3,80,2,1
2,0,12,0,1.000000000,3,80,2,1
2.1,0,12,0,1.000000000,3,80,2,1
2.2,0,12,0,1.000000000,3,80,2,1
2.3,0,12,0,1.000000000,3,80,2,1
2.4,0,12,0,1.000000000,3,80,2,1
2.5,0,12,0,1.000000000,3,80,2,1
2.6,0,12,0,1.000000000,3,80,2,1
2.7,0,12,0,1.000000000,3,80,2,1
2.8,0,12,0,1.000000000,3,80,2,1
2.9,0,12,0,1.000000000,3,80,2,1
3,0,12,0,1.000000000,3,80,2,1
3.1,0,12,0,1.000000000,3,80,2,1
3.2,0,12,0,1.000000000,3,80,2,1
3.3,0,12,0,1.000000000,3,80,2,1
3.4,0,12,0,1.000000000,3,80,2,1
3.5,0,12,0,1.000000000,3,80,2,1
3.6,0,12,0,1.000000000,3,80,2,1
3.7,0,12,0,1.000000000,3,80,2,1
3.8,0,12,0,1.000000000,3,80,2,1
3.9,0,12,0,1.000000000,3,80,2,1
4,0,12,0,1.000000000,3,80,2,1
4.1,0,12,0,1.000000000,3,80,2,1
4.2,0,12,0,1.000000000,3,80,2,1
4.3,0,12,0,1.000000000,3,80,2,1
4.4,0,12,0,1.000000000,3,80,2,1
4.5,0,12,0,1.000000000,3,80,2,1
4.6,0,12,0,1.000000000,3,80,2,1
4.7,0,12,0,1.000000000,3,80,2,1
4.8,0,12,0,1.000000000,3,80,2,1
4.9,0,12,0,1.000000000,3,80,2,1
5,0,12,0,1.000000000,3,80,2,1
0.1,0,18,0,1.000000000,3,80,2,1
0.2,0,18,0,1.000000000,3,80,2,1
0.3,0,18,0,1.000000000,3,80,2,1
0.4,0,18,0,1.000000000,3,80,2,1
0.5,0,18,0,1.000000000,3,80,2,1
0.6,0,18,0,1.000000000,3,80,2,1
0.7,0,18,0,1.000000000,3,80,2,1
0.8,0,18,0,1.000000000,3,80,2,1
0.9,0,18,0,1.000000000,3,80,2,1
1,0,18,0,1.000000000,3,80,2,1
1.1,0,18,0,1.000000000,3,80,2,1
1.2,0,18,0,1.000000000,3,80,2,1
1.3,0,18,0,1.000000000,3,80,2,1
1.4,0,18,0,1.000000000,3,80,2,1
1.5,0,18,0,1.000000000,3,80,2,1
1.6,0,18,0,1.000000000,3,80,2,1
1.7,0,18,0,1.000000000,3,80,2,1
1.8,0,18,0,1.000000000,3,80,2,1
1.9,0,18,0,1.000000000,3,80,2,1
2,0,18,0,1.000000000,3,80,2,1
2.1,0,18,0,1.000000000,3,80,2,1
2.2,0,18,0,1.000000000,3,80,2,1
2.3,0,18,0,1.000000000,3,80,2,1
2.4,0,18,0,1.000000000,3,80,2,1
2.5,0,18,0,1.000000000,3,80,2,1
2.6,0,18,0,1.000000000,3,80,2,1
2.7,0,18,0,1.000000000,3,80,2,1
2.8,0,18,0,1.000000000,3,80,2,1
2.9,0,18,0,1.000000000,3,80,2,1
3,0,18,0,1.000000000,3,80,2,1
3.1,0,18,0,1.000000000,3,80,2,1
3.2,0,18,0,1.000000000,3,80,2,1
3.3,0,18,0,1.000000000,3,80,2,1
3.4,0,18,0,1.000000000,3,80,2,1
3.5,0,18,0,1.000000000,3,80,2,1
3.6,0,18,0,1.000000000,3,80,2,1
3.7,0,18,0,1.000000000,3,80,2,1
3.8,0,18,0,1.000000000,3,80,2,1
3.9,0,18,0,1.000000000,3,80,2,1
4,0,18,0,1.000000000,3,80,2,1
4.1,0,18,0,1.000000000,3,80,2,1
4.2,0,18,0,1.000000000,3,80,2,1
4.3,0,18,0,1.000000000,3,80,2,1
4.4,0,18,0,1.000000000,3,80,2,1
4.5,0,18,0,1.000000000,3,80,2,1
4.6,0,18,0,1.000000000,3,80,2,1
4.7,0,18,0,1.000000000,3,80,2,1
4.8,0,18,0,1.000000000,3,80,2,1
4.9,0,18,0,1.000000000,3,80,2,1
5,0,18,0,1.000000000,3,80,2,1
0.1,0,24,0,1.000000000,3,80,2,1
0.2,0,24,0,1.000000000,3,80,2,1
0.3,0,24,0,1.000000000,3,80,2,1
0.4,0,24,0,1.000000000,3,80,2,1
0.5,0,24,0,1.000000000,3,80,2,1
0.6,0,24,0,1.000000000,3,80,2,1
0.7,0,24,0,1.000000000,3,80,2,1
0.8,0,24,0,1.000000000,3,80,2,1
0.9,0,24,0,1.000000000,3,80,2,1
1,0,24,0,1.000000000,3,80,2,1
1.1,0,24,0,1.000000000,3,80,2,1
1.2,0,24,0,1.000000000,3,80,2,1
1.3,0,24,0,1.000000000,3,80,2,1
1.4,0,24,0,1.000000000,3,80,2,1
1.5,0,24,0,1.000000000,3,80,2,1
1.6,0,24,0,1.000000000,3,80,2,1
1.7,0,24,0,1.000000000,3,80,2,1
1.8,0,24,0,1.000000000,3,80,2,1
1.9,0,24,0,1.000000000,3,80,2,1
2,0,24,0,1.000000000,3,80,2,1
2.1,0,24,0,1.000000000,3,80,2,1
2.2,0,24,0,1.000000000,3,80,2,1
2.3,0,24,0,1.000000000,3,80,2,1
2.4,0,24,0,1.000000000,3,80,2,1
2.5,0,24,0,1.000000000,3,80,2,1
2.6,0,24,0,1.000000000,3,80,2,1
2.7,0,24,0,1.000000000,3,80,2,1
2.8,0,24,0,1.000000000,3,80,2,1
2.9,0,24,0,1.000000000,3,80,2,1
3,0,24,0,1.000000000,3,80,2,1
3.1,0,24,0,1.000000000,3,80,2,1
3.2,0,24,0,1.000000000,3,80,2,1
3.3,0,24,0,1.000000000,3,80,2,1
3.4,0,24,0,1.000000000,3,80,2,1
3.5,0,24,0,1.000000000,3,80,2,1
3.6,0,24,0,1.000000000,3,80,2,1
3.7,0,24,0,1.000000000,3,80,2,1
3.8,0,24,0,1.000000000,3,80,2,1
3.9,0,24,0,1.000000000,3,80,2,1
4,0,24,0,1.000000000,3,80,2,1
4.1,0,24,0,1.000000000,3,80,2,1
4.2,0,24,0,1.000000000,3,80,2,1
4.3,0,24,0,1.000000000,3,80,2,1
4.4,0,24,0,1.000000000,3,80,2,1
4.5,0,24,0,1.000000000,3,80,2,1
4.6,0,24,0,1.000000000,3,80,2,1
4.7,0,24,0,1.000000000,3,80,2,1
4.8,0,24,0,1.000000000,3,80,2,1
4.9,0,24,0,1.000000000,3,80,2,1
5,0,24,0,1.000000000,3,80,2,1
0.1,0,30,0,1.000000000,3,80,2,1
0.2,0,30,0,1.000000000,3,80,2,1
0.3,0,30,0,1.000000000,3,80,2,1
0.4,0,30,0,1.000000000,3,80,2,1
0.5,0,30,0,1.000000000,3,80,2,1
0.6,0,30,0,1.000000000,3,80,2,1
0.7,0,30,0,1.000000000,3,80,2,1
0.8,0,30,0,1.000000000,3,80,2,1
0.9,0,30,0,1.000000000,3,80,2,1
1,0,30,0,1.000000000,3,80,2,1
1.1,0,30,0,1.000000000,3,80,2,1
1.2,0,30,0,1.000000000,3,80,2,1
1.3,0,30,0,1.000000000,3,80,2,1
1.4,0,30,0,1.000000000,3,80,2,1
1.5,0,30,0,1.000000000,3,80,2,1
1.6,0,30,0,1.000000000,3,80,2,1
1.7,0,30,0,1.000000000,3,80,2,1
1.8,0,30,0,1.000000000,3,80,2,1
1.9,0,30,0,1.000000000,3,80,2,1
2,0,30,0,1.000000000,3,80,2,1
2.1,0,30,0,1.000000000,3,80,2,1
2.2,0,30,0,1.000000000,3,80,2,1
2.3,0,30,0,1.000000000,3,80,2,1
2.4,0,30,0,1.000000000,3,80,2,1
2.5,0,30,0,1.000000000,3,80,2,1
2.6,0,30,0,1.000000000,3,80,2,1
2.7,0,30,0,1.000000000,3,80,2,1
2.8,0,30,0,1.000000000,3,80,2,1
2.9,0,30,0,1.000000000,3,80,2,1
3,0,30,0,1.000000000,3,80,2,1
3.1,0,30,0,1.000000000,3,80,2,1
3.2,0,30,0,1.000000000,3,80,2,1
3.3,0,30,0,1.000000000,3,80,2,1
3.4,0,30,0,1.000000000,3,80,2,1
3.5,0,30,0,1.000000000,3,80,2,1
3.6,0,30,0,1.000000000,3,80,2,1
3.7,0,30,0,1.000000000,3,80,2,1
3.8,0,30,0,1.000000000,3,80,2,1
3.9,0,30,0,1.000000000,3,80,2,1
4,0,30,0,1.000000000,3,80,2,1
4.1,0,30,0,1.000000000,3,80,2,1
4.2,0,30,0,1.000000000,3,80,2,1
4.3,0,30,0,1.000000000,3,80,2,1
4.4,0,30,0,1.000000000,3,80,2,1
4.5,0,30,0,1.000000000,3,80,2,1
4.6,0,30,0,1.000000000,3,80,2,1
4.7,0,30,0,1.000000000,3,80,2,1
4.8,0,30,0,1.000000000,3,80,2,1
4.9,0,30,0,1.000000000,3,80,2,1
5,0,30,0,1.000000000,3,80,2,1
